HarvardX/CB22x/2013_Spring,MHxPC130455348,1,1,0,0,India,Secondary,1992,f,0,2012/12/21,2013/6/5,47,1,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130156608,1,1,0,0,United States,Bachelor's,1970,f,0,2013/5/19,2013/5/19,14,1,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130071273,1,1,0,0,Greece,Bachelor's,1985,f,0,2013/2/28,2013/3/25,193,7,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130505098,1,1,0,0,United States,Doctorate,1979,m,0,2013/2/21,2013/3/13,14,3,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130485718,1,1,0,0,United States,Secondary,1965,f,0.04,2013/3/29,2013/4/6,288,5,,4,0
HarvardX/CB22x/2013_Spring,MHxPC130271748,1,1,0,0,Other East Asia,Secondary,1994,f,0,2013/2/15,2013/3/13,10,2,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130083079,1,1,0,0,Other Middle East/Central Asia,Bachelor's,1981,f,0,2013/3/19,2013/4/2,65,6,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130339914,1,1,0,0,Other South America,Secondary,1993,m,0,2013/7/9,2013/7/9,24,1,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130355812,1,1,0,0,United States,Doctorate,1957,f,0.02,2013/3/26,2013/4/26,225,12,,4,0
HarvardX/CB22x/2013_Spring,MHxPC130146275,1,0,0,0,India,Bachelor's,1988,m,0,2013/5/28,2013/5/28,3,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130302224,1,1,0,0,Morocco,Bachelor's,1991,f,,2013/2/4,2013/3/25,51,4,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130087433,1,1,0,0,Brazil,Master's,1964,m,,2013/3/17,2013/3/25,75,3,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130369695,1,1,0,0,Other East Asia,Master's,1982,m,,2013/1/13,2013/3/14,73,2,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130240136,1,0,0,0,Other South America,Secondary,1994,f,0,2013/2/1,2013/3/10,1,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130195925,1,0,0,0,Other South Asia,Bachelor's,1991,f,0,2013/8/21,2013/8/21,1,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130087681,1,1,0,0,Greece,Master's,1971,f,0,2013/2/27,2013/5/4,107,5,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130136443,1,1,0,0,Other East Asia,Master's,1972,m,0,2013/4/21,2013/4/21,20,1,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130416506,1,1,0,0,Other Europe,Master's,1988,f,0,2013/3/6,2013/3/14,27,3,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130149795,1,0,0,0,Canada,Bachelor's,1985,m,0,2013/3/17,2013/3/20,3,2,,,0
HarvardX/CB22x/2013_Spring,MHxPC130524368,1,1,0,0,United States,Secondary,1979,f,0,2012/12/28,2013/3/13,21,1,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130537964,1,1,0,0,United States,Secondary,1981,f,0,2013/3/20,2013/4/1,6,3,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130034749,1,1,0,0,United States,Bachelor's,1984,m,,2013/6/10,2013/6/12,31,2,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130488382,1,1,0,0,United States,Master's,1970,m,0,2013/8/3,2013/8/6,15,2,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130080350,1,1,0,0,Greece,Bachelor's,1978,f,0,2013/3/1,2013/6/6,68,5,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130447944,1,1,1,0,India,Bachelor's,1991,f,0.48,2013/7/7,2013/7/7,844,1,,18,0
HarvardX/CB22x/2013_Spring,MHxPC130120029,1,0,0,0,Greece,Bachelor's,1985,f,0,2013/3/6,2013/3/15,5,2,,,0
HarvardX/CB22x/2013_Spring,MHxPC130521341,1,1,0,0,United States,Secondary,1986,f,0,2013/4/23,2013/4/24,7,1,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130503266,1,0,0,0,United States,Master's,1984,f,0,2013/5/24,2013/5/24,2,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130060006,1,1,0,0,France,Master's,1978,f,0,2013/6/3,2013/6/3,35,1,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130248504,1,1,0,0,United Kingdom,Secondary,1986,f,0,2013/3/3,2013/3/18,7,2,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130581212,1,0,0,0,India,Bachelor's,1990,f,,2013/3/11,2013/3/19,8,2,,,0
HarvardX/CB22x/2013_Spring,MHxPC130100304,1,1,0,0,India,Secondary,1993,m,0,2013/2/17,2013/5/2,46,2,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130562559,1,1,0,0,United States,Bachelor's,1987,f,0,2013/1/15,2013/3/21,16,3,,1,0
HarvardX/CB22x/2013_Spring,MHxPC130494874,1,1,0,0,Other Europe,Bachelor's,1990,f,0.06,2013/4/21,2013/6/16,468,3,,4,0
HarvardX/CB22x/2013_Spring,MHxPC130140452,1,0,0,0,United Kingdom,Master's,1965,m,0,2013/7/30,2013/7/30,1,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130302577,1,1,0,0,India,Secondary,1995,f,,2013/2/15,2013/3/31,64,3,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130474370,1,1,0,0,Other Europe,Bachelor's,,f,0,2013/3/28,2013/3/29,86,2,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130273419,1,0,0,0,Brazil,Bachelor's,1979,m,0,2013/1/29,2013/3/7,1,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130452554,1,1,0,0,United States,Master's,1985,m,0.01,2013/2/14,2013/3/23,164,5,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130113192,1,0,0,0,Other Africa,Secondary,1994,m,0,2013/3/13,2013/3/14,2,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130051222,1,1,0,0,Other Africa,Secondary,1991,m,0,2013/7/14,2013/8/6,157,10,,4,0
HarvardX/CB22x/2013_Spring,MHxPC130331349,1,1,0,0,United States,Secondary,1994,f,,2013/3/3,2013/3/21,80,4,,3,0
HarvardX/CB22x/2013_Spring,MHxPC130445392,1,1,0,0,United States,Master's,1963,m,0,2013/4/7,2013/6/13,98,6,,4,0
HarvardX/CB22x/2013_Spring,MHxPC130128656,1,0,0,0,Mexico,Bachelor's,1989,f,0,2013/2/24,2013/2/24,1,1,,,0
HarvardX/CB22x/2013_Spring,MHxPC130046471,1,1,0,0,India,Secondary,1995,m,0,2013/5/14,2013/5/14,10,1,,2,0
HarvardX/CB22x/2013_Spring,MHxPC130264786,1,1,0,0,India,Secondary,1993,m,,2013/2/25,2013/4/21,236,11,,4,0
